dealer_number,part_number,first_sale_date,first_sale_date_amount,second_sale_date,second_sale_date_amount,third_sale_date,third_sale_date_amount,fourth_sale_date,fourth_sale_date_amount,fifth_sale_date,fifth_sale_date_amount
111111,11501167,10/2/12,10,,,,,,,,
111111,15811584,11/11/15,1,10/16/15,1,2/10/15,1,10/2/12,1,,
111111,15817519,10/2/12,1,,,,,,,,
111111,20918192,2/27/14,1,10/2/12,1,,,,,,
111111,15934198,10/2/12,1,,,,,,,,
111111,90363751,5/23/13,1,10/2/12,1,,,,,,
111111,9351461,12/11/14,1,10/2/12,1,,,,,,
111111,10372928,10/2/12,1,,,,,,,,
111111,15013584,10/2/12,1,,,,,,,,
111111,13503205,1/19/16,1,6/2/15,1,4/29/15,1,9/19/12,1,,
111111,15298228,9/19/12,1,,,,,,,,
111111,88878289,9/19/12,1,,,,,,,,
111111,11570951,9/19/12,1,,,,,,,,
111111,11611290,9/19/12,1,,,,,,,,
111111,15051503,9/19/12,2,,,,,,,,
111111,15588093,9/19/12,1,,,,,,,,
